Article Title,Program Name,Image source,Alt Text,Description
Prabowo Tertawa Disebut Tampar dan Cekik Wamentan,The Election Channel,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/bw6CYr0q/t_6509a0bfe5115.jpg?w=300,Prabowo Tertawa Disebut Tampar dan Cekik Wamentan,"Menteri Pertahanan sekaligus bakal capres Koalisi Indonesia Maju (KIM) Prabowo Subianto tertawa mendengar isu soal dirinya yang disebut mencekik dan menampar Wakil Menteri Pertanian Harvick Hasnul Qolbi.""Ya kita kalau bisa sejuk, sejuk. Tapi nanti sedang diproses juga, dipelajari itu,"" ujar Prabowo saat  mendampingi Presiden Jokowi di Bandung, Jawa Barat, Selasa, 19 September 2023.Prabowo mengaku tak pernah bertemu dengan Wamen yang dimaksud. Dirinya hanya sering bertemu dengan Menteri Pertanian Syahrul Yasin Limpo.Sementara, Presiden Joko Widodo juga menegaskan tidak ada peristiwa itu, apalagi sampai mencekik saat rapat. Presiden berseloroh bahwa Prabowo sekarang adalah orang yang sabar.Presiden menduga isu tersebut dikeluarkan karena sudah masuk tahun politi.k Ia pun meminta agar masyarakat tidak menerima mentah-mentah isu yang beredar di publik.""Dalam situasi politik seperti ini, pasti banyak isu-isu seperti itu. Jadi tolong di-crosscheck kebenarannya,"" kata Presiden Joko Widodo."
Pertanyaan Petugas Partai ke Ganjar Diyakini Bukan Titipan,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/bD2CZ4Rv/t_65099f691e42c.jpg?w=300,Pertanyaan Petugas Partai ke Ganjar Diyakini Bukan Titipan,"Jakarta: Pakar Komunikasi Politik Effendi Gazali meyakini pertanyaan yang diajukan mahasiswa UI, Naufal, tentang petugas partai ke bakal calon presiden (Bacapres) Ganjar Pranowo murni dari pemikirannya. Bukan pertanyaan titipan dari pihak oposisi.""Saya yakin itu pertanyaan asli dari Naufal. Bukan dititipkan,"" ujar Effendi, dalam program Primetime News Metro TV, Selasa, 19 September 2023.Pada satu sisi, Effendi bisa memaklumi jika Ganjar tidak nyaman dengan istilah petugas partai yang disematkan padanya. Sebab, dia sendiri juga tidak nyaman dengan istilah tersebut.""Jujur saya juga tidak terlalu suka dengan istilah itu,"" ujar Effendi.Ganjar mampu menangkis pertanyaan kritis tersebut. Dia meyakinkan mahasiswa bahwa akan tetap tunduk kepada rakyat jika menjadi presiden. Ganjar mencoba memberi pembuktian 10 tahun menjabat sebagai Gubernur Jawa Tengah.""Nah tantangan itu nanti akan terus dihadapi Ganjar saat kampanye di lapangan,"" katanya.Sebelumnya, Ganjar Pranowo mengikuti Kuliah Kebangsaan di FISIP UI. Dalam kesempatan tersebut, Ganjar merespons pertanyaan yang disampaikan salah satu perserta, Naufal, soal petugas partai.""Anda tidak perlu takut soal petugas partai atau tidak,” terang Ganjar di Kampus UI, Depok, Jawa Barat, Senin, 18 September 2023.Eks Gubernur Jawa Tengah (Jateng) itu menyebut ada perbedaan seorang politikus saat menduduki kepala pemerintahan atau tidak. Saat tidak menjabat, seorang politikus itu disebut sebagai petugas partai.""Saya kader partai, tapi presiden bukan, gubernur bukan. Itulah melayani,” ungkap dia.Namun, status petugas partai tak lagi melekat jika seorang politikus dipercaya menjadi pemimpin pemerintahan. Ganjar menyebut politikus tersebut kemudian beralih menjadi petugas rakyat."
Pengamat Sepak Bola Optimis Timnas U-24 Bisa Kalahkan Kirgistan,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NLMCOaZX/t_65099ea18b4e0.jpg?w=300,Pengamat Sepak Bola Optimis Timnas U-24 Bisa Kalahkan Kirgistan,"Pengamat sepak bola Ronny Pangemanan optimis Timnas Indonesia U-24 bisa mengalahkan Kirgistan. Ia merasa yakin dengan tektik yang dilakukan Pelatih Indra Sjafri. ""Kita punya kekuatan, ketika lini depan terisolir, kita masih punya opsi ada empat gelandang yang bisa membuka peluang mencetak gol,"" kata Ronny Pangemanan dalam tayangan Primetime News, Metro TV, Selasa, 19 September 2023. Menurut Ronny, tidak adanya Ramadhan Sananta membuat Indra Sjafri harus bisa membuka otak. Indra Sjafri bisa saja menempatkan Titan Agung untuk menggantikan Ramadhan Sananta.""Kita punya Ramadhan Sananta yang sangat garang. Kalau Ramadhan Sananta ini ada, akan jauh lebih baik, lebih tenang bagi Indra Sjafri, tapi sekarang harus bisa menjalankan dengan situasi dan kondisi tanpa Ramadhan,"" jelasnya.Sebelumnya, Timnas Indonesia U-24 mengawali laga perdana di Asian Games 2022 melawan Kirgistan pada Selasa, 19 September 2023. Meski mengalami krisis di lini depan, Pelatih Indra Sjafri optimis bisa masuk ke fase berikutnya. "
"Korupsi LNG di Pertamina Bikin Negara Rugi Rp2,1 Triliun",Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/b2lCr0W1/t_65099e1b2412e.jpg?w=300,"Korupsi LNG di Pertamina Bikin Negara Rugi Rp2,1 Triliun",
Asian Games: Indra Sjafri Optimistis Garuda Muda Kalahkan Kirgistan,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NrWCZ7m6/t_65099de5b69b1.jpg?w=300,Asian Games: Indra Sjafri Optimistis Garuda Muda Kalahkan Kirgistan,"Timnas Indonesia U-24 akan mengawali laga perdana di Asian Games 2022 melawan Kirgistan, Selasa malam 19 September 2023. Meski mengalami krisis di lini depan, Indra Sjafri optimistis Timnas bisa masuk ke fase berikutnya.Timnas Indonesia akan melakukan laga perdana Grup F Asian Games 2022 yang digelar tahun ini melawan Kirgistan di Zhejiang Normal University East Stadium, Hangzhou, Tiongkok. Anak asuh Indra Sjafri diprediksi akan bermain ketat dan menarik. Secara head to head di level U-23 maupun U-24, Timnas Indonesia belum pernah bertemu dengan Kirgistan termasuk di gelaran Asian Games.Ketajaman pemain Timnas Indonesia menjadi sorotan. Kini Skuad Garuda Muda tengah dilanda krisis striker, setelah Ramadgan Sananta tidak dilepas oleh klubnya.Timnas Indonesia U-24 hanya membawa satu penyerang murni yakni Titan Agung. Sehingga pemain lini kedua maupun sektor belakang diharapkan turut menyumbangkan gol, di antaranya berharap kepada Egy Maulana Vikri di sektor sayap, Bagas Kaffa di posisi bek kanan, serta Rachmat Irianto di sektor tengah. Meski begitu, pelatih Indra Sjafri mempersiapkan laga dengan maksimal dan optimis untuk menghadapi laga perdana melawan Kirgistan.""Kami berupaya untuk bisa lolos grup dulu. Sekarang tim analis kita lagi melakukan analisa terhadap 3 lawan yang akan kita hadapi. Doakan saja mudah-mudahan kita bisa maksimal dengan pemain yang kita rekrut ini,"" ujar Indra Sjafri. ""Saya yakin dan percaya kepada pemain siapapun itu kalau sudah namanya mewakili negara dan terpilih, mereka harus bisa,"" lanjutnya.Indra Sjafri membawa 22 pemain untuk Asian Games Hanzhou. Skuadnya merupakan jebolan Timnas U-23 yang baru lolos ke Piala Asia U-23 2024. "
Jokowi dan Prabowo Kunjungi PT Pindad,Metro Hari Ini,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NxGC58VL/t_65099a9834d9e.jpg?w=300,Jokowi dan Prabowo Kunjungi PT Pindad,"Presiden Joko Widodo bersama Menteri Pertahanan Prabowo Subianto melakukan kunjungan kerja ke PT Pindad. Dalam kunjungannya, Jokowi menargetkan Pindad tembus di posisi 50 terbaik sebagai perusahaan pertahanan dunia.Dalam kunjungan tersebut, keduanya melihat produksi kendaraan tempur yang dimiliki oleh Pindad. Usai melihat hasil produksi Pindad, Jokowi menargetkan Pindad menembus posisi 50 terbaik sebagai perusahaan pertahanan dunia.Diperkirakan tahun ini PT Pindad masuk ke angka 60 dan pada 2025 nanti diharapkan masuk Top 50. Presiden Joko Widodo pun mengapresiasi Kemenhan yang rutin memesan hasil produksi Pindad. "
Anies Tekankan Gerakan Perubahan Bukan Berarti Membatalkan Kebijakan,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NA0CXVeQ/t_65099a9bafe72.jpg?w=300,Anies Tekankan Gerakan Perubahan Bukan Berarti Membatalkan Kebijakan,
KPK Tahan Eks Dirut Pertamina Karen Agustiawan,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/K5nC4dvZ/t_650998f3ac4dc.jpg?w=300,KPK Tahan Eks Dirut Pertamina Karen Agustiawan,
"'Petugas Partai' Tersemat, Ganjar 'Disekakmat'",The Election Channel,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/KZmCvlpy/t_65099874b420d.jpg?w=300,"'Petugas Partai' Tersemat, Ganjar 'Disekakmat'","Meski sudah ditegaskan oleh Ketua Umum PDIP Megawati Soekarnoputri soal istilah petugas partai, namun tampaknya masyarakat masih memandang istilah tersebut sebagai hal yang negatif. Hal itu terlihat lewat pertanyaan seorang mahasiswa Universitas Indonesia kepada bakal capres PDIP Ganjar Pranowo yang disambut riuh mahasiswa lainnya. ""Kita punya keresahan, terutama kenapa Ganjar dicalonkan sebagai bacapres. Ketika dicalonkanpun, frasa yang digunakan oleh Ibu Megawati adalah dinaikan tugasnya sebagai kader dan petugas partai,"" kata Koordinator Bidiang Sosial Politik BEM UI Taffi Hensan dalam program Primetime News, Metro TV, Selasa, 19 September 2023. Taffi menyampaikan, istilah petugas partai yang selalu disematkan Ketua Umum PDIP Megawati Soekarnoputri selalu menjadi keresahan mahasiswa. Hal itu dinilai cukup mengganggu. ""Karena selama ini kita lihat Pak Jokowi sering menuruti Ketua Partainya Ibu Megawati,"" ungkap Taffi.Taffi selaku mahasiswa mengaku mempunyai kekhawatiran terhadap Ganjar Pranowo. Dirinya khawatir Ganjar menjadi petugas partai seperti yang dilakukan Joko Widodo selama menjabat sebagai Presiden RI.Ketua DPP PDIP Nusyirwan Soejono pun menjawab keresahan mahasiswa tersebut. Ia menjelaskan bahwa istilah petugas partai adalah kader yang bertugas menjaga ideologi, menjaga konsepsi, dan misi dari partai sekaligus rakyat. ""Ia bertugas untuk mengawal dan menjaga konstitusi yang di dalamnya mennyejahterakan rakyat, di situlah penugasannya itu melekat,"" kata dia.Nusyirwan mengaku tidak tahu jika istilah petugas partai sangat mengganggu dan meresahkan masyarakat. Tetapi, menurutnya PDIP lebih mengedepankan gagasan dan program dibandingkan dengan istilah petugas partai. Sebab, sebuah gagasan yang akan dinilai dan dicerna oleh masyarakat.Di sisi lain, pakar komunikasi politik UI Effendi Gazali juga mengaku tidak menyukai istilah petugas partai. Ia lebih menyukai istilah tersebut diganti dengan kader partai. ""Yang menjadi persoalan adalah dalam diskusi kemarin, itu Pak Ganjar sangat hati-hati. Saya rasa dia (Ganjar) tidak mengulang istilah petugas partai yang ditanyakan Naufal,"" ungkapnya. Sebelumnya, bacapres Ganjar Pranowo akhirnya memenuhi undangan FISIP UI dalam kuliah kebangsaan yang digelar, Senin, 18 September 2023. Dalam forum tersebut, Ganjar dicecar banyak pertanyaan oleh dosen maupun mahasiswa.  Salah satunya seputar dirinya yang kerap kali disebut sebagai petugas partai.Mantan Gubernur Jawa Tengah itu menyebut ada perbedaan seorang politikus saat menduduki kepala pemerintahan atau tidak. Saat tidak menjabat, seorang politikus itu disebut sebagai petugas partai.""Saya kader partai, tapi presiden bukan, gubernur bukan. Itulah melayani,” ungkap Ganjar.Namun, status petugas partai tak lagi melekat jika seorang politikus dipercaya menjadi pemimpin pemerintahan. Ganjar menyebut politikus tersebut kemudian beralih menjadi petugas rakyat."
Eks Dirut Pertamina Karen Agustiawan Ditetapkan Tersangka Korupsi,Breaking News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/kj2CAR6Y/t_6509976cd5e12.jpg?w=300,Eks Dirut Pertamina Karen Agustiawan Ditetapkan Tersangka Korupsi,"Komisi Pemberantasan Korupsi (KPK) menetapkan mantan Direktur Utama PT Pertamina (Persero) Karen Agustiawan sebagai tersangka korupsi, Selasa 19 September 2023. Karen terjerat kasus rasuah pengadaan liquefied natural gas (LNG) di PT Pertamina (Persero) pada 2011 sampai 2021.""Mengumumkan tersangka sebagai berikut, GKK alias KA, Direktur Utama PT Pertamina Persero tahun 2009-2014,"" ujar Ketua KPK Firli Bahuri di Gedung Juang KPK, Jakarta Selatan, Selasa, 19 September 2023.Selanjutnya, Karen Agustiawan ditahan selama 20 hari pertama mulai dari 19 September 2023 sampai 8 Oktober 2023. Karen bakal mendekam di Rumah Tahanan (Rutan) Negara cabang KPK. Upaya paksa itu bisa diperpanjang jika penyidik membutuhkan waktu tambahan untuk mendalami perkara ini.""Untuk kebutuhan penyidikan,"" ujar FirliSebelumnya, KPK terbang ke Amerika untuk mendalami dugaan rasuah dalam pengadaan LNG di PT Pertamina (Persero). Perjalanan dinas itu dinilai penting untuk mencari bukti baru.""Kita juga sudah ke Amerika, ketemu FBI, dan perusahaan di sana, termasuk juga tanya tentang itu,"" kata pelaksana tugas (Plt) Deputi Penindakan dan Eksekusi KPK Asep Guntur di Jakarta, Senin, 18 September 2023.Asep menjelaskan penyidik terbang ke Amerika pada akhir Agustus 2023. Pendalaman informasi di sana dinilai penting karena pengadaan LNG menyeret beberapa perusahaan luar negeri.""Perkara ini kan juga terkait dengan trading, penjualan, dengan perusahaan-perusahaan di luar negeri. Nah itu yang membuat kita perlu ke luar negeri, periksa,"" ucap Asep. "
Klarifikasi Jokowi soal Data Intelijen Parpol: Itu Laporan Rutin,Metro Hari Ini,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/KXyC92DG/t_6509938c228db.jpg?w=300,Klarifikasi Jokowi soal Data Intelijen Parpol: Itu Laporan Rutin,"Presiden Joko Widodo (Jokowi) mengklarifikasi pernyataannya soal data intelijen tentang kondisi internal dan arah pergerakan partai politik. Presiden menyatakan bahwa data dan informasi yang dimilikinya merupakan laporan rutin yang selalu diberikan oleh berbagai pihak kepadanya. Tidak hanya soal politik, tapi juga soal sosial ekonomi.""Ya saya itu secara rutin mendapatkan laporan mengenai hal yang berkaitan dengan politik, yang berkaitan dengan ekonomi, yang berkaitan dengan sosial selalu mendapatkan informasi itu,"" ujar Jokowi seusai melakukan kunjungan di Pasar Bali Mester, Jatinegara, Jakarta, Selasa, 19 September 2023.Jokowi mengaku menerima informasi-informasi tersebut dari Badan Intelijen Negara (BIN), Badan Intelijen Strategis (BAIS) TNI dan mengenai kondisi keamanan dari big data Polri.""Aliran dana dari PPATK semuanya saya dapat. Itu, makanan sehari-hari saya, hasil survei mereka (partai politik) data-data angka-angka semuanya. Pagi-pagi itu (informasi tersebut) sarapan saya, angka-angka data-data, apa itu laporan-laporan rutin seperti itu apa, kenapa? hahaha,"" ujar Jokowi.Jokowi hanya tersenyum dan tertawa saat ditanya bahwa data tersebut rawan digunakan untuk kepentingan politik termasuk tudingan cawe-cawe istana menjelang Pemilihan Presiden (Pilpres) 2024.Seperti diberitakan, di depan para relawan Jokowi menjelaskan bahwa ia memiliki informasi arah partai politik serta data pendukung seperti hasil survei terkait tahun politik 2024.""Dan informasi-informasi di luar itu, angka data, survei semuanya ada. Saya pegang semua dan itu hanya miliknya Presiden karena langsung, langsung ke saya,"" tuturnya.Jokowi juga menyampaikan bahwa relawan sudah dapat mulai memanaskan mesin politik menjelang agenda Pemilu 2024. Kepemimpinan Indonesia ke depan, menurut Jokowi, dapat menentukan kemampuan Indonesia untuk menjadi negara maju, bukan lagi negara berkembang."
Bulog Kalsel Impor 3.500 Ton Beras,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/kpLCr561/t_6509915c455ff.jpg?w=300,Bulog Kalsel Impor 3.500 Ton Beras,
Anies Baswedan Dorong Pengawasan KPK Lebih Maksimal,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/kELC1ZEa/t_6509912d6295d.jpg?w=300,Anies Baswedan Dorong Pengawasan KPK Lebih Maksimal,
Anies Nilai KPK Harus Independen Seperti Dulu,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/N4EC2VWW/t_6509915730ab4.jpg?w=300,Anies Nilai KPK Harus Independen Seperti Dulu,
Jubir Prabowo Sebut Penyebaran Hoaks Jelang Pemilu Harus Dihentikan,The Election Channel,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/bJECndA6/t_6509968023714.jpg?w=300,Jubir Prabowo Sebut Penyebaran Hoaks Jelang Pemilu Harus Dihentikan,"Juru Bicara Prabowo Subianto, Dahnil Anzar Simanjuntak membantah kabar Prabowo Subianto menampar dan mencekik Wamentan. Ia meminta agar penyebaran berita hoaks tersebut segera dihentikan. ""Pak Prabowo sejak awal mengingatkan kepada seluruh pendukung beliau, seluruh simpatisan beliau dan kader-kader Gerindra untuk tidak melayani semua fitnah dan hoaks, dan kita harus tetap sabar,"" kata Dahnil Anzar Simanjuntak dalam program Metro Hari Ini, Metro TV, Selasa, 19 September 2023. Menurut Dahnil, penyebaran berita hoaks merupakan perilaku yang tidak pantas ditunjukkan. Sebab, akan selalu ada kelompok-kelompok tertentu yang berupaya menebarkan fitnah dan hoaks untuk menimbulkan kericuhan jelang tahun politik.""Bahkan Pak Presiden ikut menjawab, Kementerian Pertanian juga ikut mengklarifikasi bahwa itu fitnah,"" ujarnya.Dahnil menyampaikan bahwa Prabowo tidak pernah bertemu Wamentan Harvick Hasnul Qolbi. ""Yang paling berbahaya adalah orang-orang yang sedang menebar hoaks dan fitnah ini memang mereka-mereka yang sudah terkenal sebagai produsen dan suka menebar fitnah,"" ujar Dahnil.""Kita ingin demokrasi kita dilaksanakan dengan gembira, dengan kompetisi yang sehat, bukan dengan kompetisi yang diisi dengan fitnah dan hoaks,"" imbuhnya.Juru Bicara Prabowo tersebut menginginkan demokrasi di Indonesia dilaksanakan dengan sehat, serta diisi dengan kompetisi. Bukan diisi dengan fitnah dan hoaks. ""Jika ada relawan yang keberatan, kami (Prabowo) tidak bisa menghalangi hak konstitusional mereka,"" ucap Dahnil.Dahnil mengimbau masyarakat agar selalu mengecek segala informasi menjelang pemilu. Masyarakat diminta tabayun dan pastikan informasi yang diperoleh benar dan dapat dipertanggungjawabkan. ""Pak Prabowo berharap semua elemen berkompetisi dengan sehat, gembira,"" ungkapnya. "
4 Daerah Langganan TPA Sarimukti Diminta Menghemat Kuota Pembuangan Sampah,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/Ky6CBadJ/t_65098e718a601.jpg?w=300,4 Daerah Langganan TPA Sarimukti Diminta Menghemat Kuota Pembuangan Sampah,
Jokowi Harap Indonesia Masuk 10 Besar Asian Games Hangzhou,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NG9C5DBd/t_65098d91bd7ad.jpg?w=300,Jokowi Harap Indonesia Masuk 10 Besar Asian Games Hangzhou,"Presiden Joko Widodo atau Jokowi melepas 576 atlet Indonesia yang akan berangkat mengikuti kompetisi Asian Games ke-19 di Hangzhou, Tiongkok. Jokowi menyampaikan ada 30 cabang olahraga yang akan diikuti kontingen Indonesia. Ia berharap Indonesia bisa masuk dalam 10 besar di Asian Games.""Saya hanya titip di Asian Games, di Jakarta (saat Indonesia jadi tuan rumah), kita berada di ranking ke empat meskipun tadi menteri pemuda dan olahraga sudah mengalkulasi kira-kira akan jatuh rankingnya di ranking 12, buat saya kok jauh banget. Jadi jangan (rangking) 12 lah, saya minta masuk ke 10 besar,"" ujar Jokowi di halaman Istana Merdeka, Jakarta, Selasa 19 September 2023.Menurutnya memang ada perbedaan antara negara yang tengah menjadi tuan rumah, dengan negara peserta. Meskipun kontingen Indonesia tidak sedang bertanding di negara sendiri, ia berharap semangat para atlet tidak kendor.""Saya tahu menjadi tuan rumah dan tidak menjadi tuan rumah itu beda, saya tahu. Jadi kembali lagi target saya masuk ke 10 besar. Biasanya hitungan saya enggak meleset,"" ujarnya.""Saya rasa itu yang ingin saya sampaikan selamat bertanding dan atas nama rakyat, bangsa dan negara. Saya menantikan prestasi-prestasi dan emas yang sebanyak-banyaknya yang bisa kita raih,"" sambung presiden."
5 Kabupaten di Sulteng Berpotensi Kekeringan Parah,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/N0BCrQaY/t_65098d3be7366.jpg?w=300,5 Kabupaten di Sulteng Berpotensi Kekeringan Parah,
Lahan Senilai Rp149 Miliar di Bandar Lampung Disita Satgas BLBI,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/KdZCVnyQ/t_65098d0036619.jpg?w=300,Lahan Senilai Rp149 Miliar di Bandar Lampung Disita Satgas BLBI,
"Bertambah, 21 Saksi Diperiksa Terkait Kebakaran Museum Nasional",Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/b7WCRy78/t_65098d5400db6.jpg?w=300,"Bertambah, 21 Saksi Diperiksa Terkait Kebakaran Museum Nasional",
