Article Title,Program Name,Image source,Alt Text,Description
"Kelelahan dalam Perjalanan, Timnas U-17 Hanya Latihan Ringan pada Hari Pertama TC di Jerman",Breaking News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/N6GC8GEX/t_6509b483396df.jpg?w=300,"Kelelahan dalam Perjalanan, Timnas U-17 Hanya Latihan Ringan pada Hari Pertama TC di Jerman",
Timnas Indonesia Tekuk Kirgistan di Laga Pembuka Asian Games 2022,Breaking News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/kqYCEM5d/t_6509b5a95c6a4.jpg?w=300,Timnas Indonesia Tekuk Kirgistan di Laga Pembuka Asian Games 2022,
Kepala BP2MI Terima Kedatangan Jenazah Korban TPPO Asal NTT,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/b1oC8WnV/t_6509b29ab7cf3.jpg?w=300,Kepala BP2MI Terima Kedatangan Jenazah Korban TPPO Asal NTT,"Jenazah pekerja migran ilegal kembali dipulangkan dari Malaysia. Kedatangan jenazah diterima langsung oleh Kepala BP2MI Benny Rhamdani yang turut mendampingi keluarga korban dan menguatkan keluarga yang ditinggalkan.Duka mendalam dirasakan keluarga Yati Fatima Tusi, korban TPPO asal NTT yang meninggal dunia karena sakit ketika bekerja di Malaysia. Jenazah Yati dipulangkan melalui Bandara El Tari, Kupang, Senin, 18 September 2023. Data BP2MI mencatat, NTT merupakan daerah yang paling tinggi kasus kepulangan jenazah pekerja migran illegal. Sepanjang 2023, tercatat sudah ada sebanyak 107 jenazah pekerja migran ilegal yang dipulangkan ke NTT.""NTT ini provinsi tertinggi untuk angka kepulangan jenazah (PMI),"" kata Benny Rhamdani. Benny menegaskan, pemerintah saat ini serius untuk mencegah dan menindak secara tegas setiap sidikat ataupun oknum yang terlibat tindak pidana perdagangan orang (TPPO). Benny pun mengajak semua pihak untuk bersama-sama memberantas sindikat perdagangan orang."
2 Warga Oksibil Terluka Ditembak Separatis Papua,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/bVDCOxag/t_6509b48994f68.jpg?w=300,2 Warga Oksibil Terluka Ditembak Separatis Papua,"Kelompok Separatis Teroris (KST) Papua kembali berulah dengan menembak dua orang warga sipil di Distrik Oksibil, Kabupaten Pegunungan Bintang. Kasatgas Humas Ops Damai Cartenz AKBP Bayu Suseno mengatakan, penembakan terjadi di Kampung Okpol, Senin 18 September 2023 sekitar pukul 19.00 WIT. Kedua korban tengah berada di dalam rumah lalu tiba-tiba terdengar suara tembakan dan mengenai keduanya. Akibatnya, dua korban bernama Regina Bitdana dan Jonas Kalakmabin mengalami luka tembak di bagian kaki. Saat ini keduanya berada di RSUD Oksibil untuk menjalani perawatan. ""Untuk kondisi korban saat ini dalam keadaan sadar dan dirawat di RSUD,"" kata AKBP Bayu Suseno."
Tersangka Korupsi LNG Pertamina Bantah Tudingan KPK,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/k8oCLy0L/t_6509b3c85b6d2.jpg?w=300,Tersangka Korupsi LNG Pertamina Bantah Tudingan KPK,
BP2MI Kukuhkan Kawan PMI NTT,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NgxC84Gr/t_6509b1e8bd474.jpg?w=300,BP2MI Kukuhkan Kawan PMI NTT,"Badan Pelindungan Pekerja Migran Indonesia (BP2MI) membentuk dan mengukuhkan Komunitas Relawan Pekerja Migran Indonesia (Kawan PMI) di Kupang, Nusa Tenggara Timur (NTT). Kawan PMI merupakan wadah untuk bersama-sama melindungi pekerja migran Indonesia. Pembentukan Kawan PMI ini dikukuhkan langsung oleh Kepala BP2MI Benny Rhamdani, didampingi Pj Gubernur NTT Ayodhia Kalake, Kapolda NTT Irjen Pol Johni Asadoma, serta sejumlah perwakilan pimpinan TNI dan Forkopimda. Hadir pula dalam kegiatan ini anggota DPR RI Komisi IX Ratu Ngadu Banu Wulia bersama anggota DPD Paul Liyanto.Sejak pagi, ratusan anggota Kawan PMI mulai berdatangan ke lokasi dengan penuh semangat. Sebanyak 115 anggota Kawan PMI se-NTT yang dikukuhkan diharapkan dapat menjadi wadah untuk berjuang bersama menjaga dan melindungi pekerja migran Indonesia. Benny Rhamdani menambahkan, NTT merupakan daerah tertinggi angka kematian PMI illegal. Sehingga, perlu kerjasama semua pihak, termasuk bersama Kawan PMI NTT untuk memberikan perlindungan terhadap PMI.   Data BP2MI mencatat dalam kurun waktu sejak 2019 - 2023, sebanyak 4.506 PMI asal NTT yang bekerja di luar negeri secara prosedural. Sementara sepanjang 2023, tercatat 107 jenazah PMI yang dipulangkan ke NTT, dan dalam tiga tahun terakhir ada sebanyak 420 jenazah PMI asal NTT yang merupakan PMI nonprosedural.Dengan kondisi tersebut, kehadiran Kawan PMI NTT mampu berkolaborasi dengan semua pihak untuk mencegah berbagai tindakan kejahatan. Termasuk memerangi sindikat penempatan PMI secara illegal.Komitmen yang sama disampaikan langsung oleh Kapolda NTT Irjen Pol Johni Asadoma. Kapolda menjamin integritas aparat untuk memerangi berbagai aksi kejahatan perdagangan orang dan memberantas oknum ataupun sindikat yang terlibat dalam perekrutan ataupun penempatan PMI secara illegal. Jika ada oknum aparat yang terlibat, maka dipastikan akan ditindak tegas.Kepala BP2MI Benny Rhamdani dalam sambutannya menyerukan kepada seluruh Kawan PMI untuk bersatu, berjuang bersama memerangi sindikat perdagangan orang dan memberikan perlindungan menyeluruh bagi PMI. PMI wajib dilindungi karena PMI merupakan anak bangsa sebagai penyumbang devisa terbesar mencapai Rp1.519 triliun lebih per tahunnya. Sehingga negara wajib memperhatikan dan melindungi setiap PMI.  Negara akan bertindak tegas terhadap siapapun atau sindikat apapun yang terlibat melalui instruksi presiden terhadap kapolri untuk sikat habis setiap sindikat dan oknum yang terlibat perdagangan orang. Kepala BP2MI pun menyerukan kepada semua pihak agar komitmen bersama dan berjuang bersama agar negara tidak kalah dengan para mafia atau sindikat kejahatan.Dalam kegiatan ini, Kepala BP2MI juga menyampaikan apresiasi bagi para anggota yang telah bergabung sebagai Kawan PMI sebagai salah satu aksi kemanusiaan demi menjaga dan melindungi negara dari berbagai ancaman sindikat kejahatan. Termasuk memerangi tindakan perdagangan orang demi memberi perlindungan kepada para pekerja migran Indonesia. "
Dalih Ganjar Usai Muncul di Azan TV Jadi Kontroversi,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/ba4C0GgY/t_6509af56f1150.jpg?w=300,Dalih Ganjar Usai Muncul di Azan TV Jadi Kontroversi,
PKB Belum Dapat Kapten Timnas AMIN,The Election Channel,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/kWDCOMGW/t_6509b271a8dbd.jpg?w=300,PKB Belum Dapat Kapten Timnas AMIN,"Jakarta: Partai Kebangkitan Bangsa (PKB) masih mempelajari nama-nama yang dirumorkan mengisi pos kapten Tim Nasional (Timnas) Pemenangan Anies-Cak Imin (AMIN). Belum ada pembicaraan secara detail.""Sampai saat ini secara detail buat suaranya kita belum bisa menyampaikan,"" ujar Ketua Umum DPP Perempuan Bangsa PKB Siti Mukaromah, Selasa, 19 September 2023.Erma, sapaannya, mengaku belum ada pembicaraan lebih lanjut mengenai sosok Kapten Timnas Pemenangan AMIN. Baik di internal PKB dan dengan partai koalisi.Pihaknya saat ini baru membahas tema yang akan menjadi perhatian utama Timnas Pemenangan AMIN. Mulai dari bidang politik, pendidikan, kesehatan, agama, dan ekonomi.Ada 21 nama masuk bursa calon Timnas Pemenangan AMIN. Tiga di antaranya Gubernur Jawa Timur Khofifah Indar Parawansa, jurnalis senior Najwa Shihab, dan Tokoh Publik Veronica Tan."
"Khawatir Pandemi Muncul Lagi, Korsel Stok Vaksin Covid-19",Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NnjC7oQZ/t_6509acebdb736.jpg?w=300,"Khawatir Pandemi Muncul Lagi, Korsel Stok Vaksin Covid-19",
Polres Depok Ringkus 2 Pemalsu Surat Kendaraan Bermotor,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/KvJCB2je/t_6509ac5144d8b.jpg?w=300,Polres Depok Ringkus 2 Pemalsu Surat Kendaraan Bermotor,"Polres Depok menangkap dua tersangka jaringan pemalsu surat kendaraan bermotor. Keduanya disebut sudah beberapa kali memalsukan STNK dan BPKB kendaraan bermotor. Polisi menangkap dua tersangka, MH (43) dan F (39) di kediaman pelaku di Sukmajaya, Kota Depok, Jawa Barat. Pelaku MH disebut memiliki kemampuan desain grafis yang digunakan untuk memalsukan surat kendaraan. Sedangkan pelaku F bertindak sebagai pencari konsumen. Kedua tersangka disebut memperoleh keuntungan puluhan juta rupiah. Pelaku memasang tarif Rp400 ribu hingga Rp700 ribu untuk satu surat kendaraan yang dipalsukan. Para tersangka akhirnya mendekam di ruang tahanan Mapolres Metro Depok dan terancam hukuman enam tahun penjara.""Selain itu yang bersangkutan juga sempat menawarkan dan memberikan keterangan, kalau bisa juga membuat buku nikah serta BPKB,"" ujar Kasat Reskrim Polres Metro Depok Kompol Hadi Kristanto."
